Id,Leidos,Respuestas,Nuevos,Exito
1,69,4,0,NO
2,80,0,0,SI
3,86,0,0,SI
5,52,0,0,NO
6,2,0,0,NO
7,177,9,2,SI
8,0,0,0,NO
9,50,0,0,NO
10,45,0,0,SI
11,121,1,0,SI
12,128,0,0,SI
13,18,0,0,NO
14,66,0,0,NO
16,20,0,0,NO
18,62,2,0,NO
19,66,0,0,NO
20,75,0,0,NO
21,75,0,0,NO
22,0,0,0,NO
23,35,4,2,SI
24,186,13,1,NO
25,128,6,1,SI
26,55,0,0,SI
27,139,2,1,NO
29,6,0,0,NO
30,44,2,1,NO
31,18,0,0,NO
32,148,3,0,SI
33,161,6,0,SI
34,20,0,0,SI
35,53,0,0,SI
36,37,0,0,SI
37,18,0,0,NO
38,34,0,0,SI
39,113,1,0,SI
41,132,0,0,SI
42,38,0,0,NO
44,179,8,0,SI
45,58,0,0,SI
46,31,0,0,NO
47,85,3,0,NO
48,12,0,0,NO
49,99,2,0,SI
51,83,0,0,NO
52,63,3,1,SI
53,45,0,0,NO
54,395,39,0,SI
55,111,0,0,SI
56,86,0,0,SI
57,113,0,0,SI
58,42,0,0,SI
59,99,0,0,SI
60,39,3,0,NO
61,46,0,0,NO
63,18,0,0,NO
64,12,0,0,NO
66,17,0,0,NO
67,142,0,0,SI
68,34,0,0,NO
69,30,2,0,NO
71,76,2,2,NO
72,118,0,0,NO
73,47,0,1,NO
74,79,0,0,SI
75,0,0,0,NO
76,61,1,1,NO
77,114,0,0,NO
78,35,0,1,SI
79,223,34,0,NO
81,12,0,0,SI
82,78,2,0,SI
83,6,0,0,NO
84,22,1,0,NO
85,15,1,0,NO
86,57,0,0,SI
88,26,0,0,NO
89,144,1,0,SI
90,121,1,0,SI
91,51,1,0,NO
92,51,0,0,NO
93,30,0,0,SI
96,58,0,0,SI
97,16,0,0,NO
98,114,0,0,SI
100,10,0,0,SI
101,208,15,3,SI
103,64,2,0,SI
104,138,8,0,SI
105,182,1,0,SI
106,152,0,0,SI
107,6,0,0,NO
109,77,0,0,NO
110,12,0,0,NO
111,36,2,0,NO
112,26,0,0,SI
113,69,0,0,NO
114,41,0,0,SI
115,28,0,0,SI
116,41,0,0,NO
117,6,0,0,SI
118,29,1,0,SI
119,47,0,0,NO
121,17,0,0,NO
123,38,0,0,NO
124,160,7,2,NO
125,18,0,0,NO
126,183,20,1,SI
128,67,5,1,NO
130,62,2,1,NO
131,85,0,0,NO
132,58,0,0,SI
133,82,4,2,SI
134,29,0,0,SI
135,103,0,0,SI
136,154,17,2,SI
137,14,0,0,NO
138,100,0,0,SI
139,329,20,3,SI
140,104,1,1,SI
141,41,1,0,NO
142,12,0,0,NO
143,34,0,0,NO
144,0,0,0,NO
145,157,11,0,SI
146,127,0,0,SI
147,143,9,5,SI
149,24,0,0,NO
150,63,2,0,SI
151,34,0,0,NO
152,22,0,0,NO
155,21,0,0,NO
157,245,3,0,NO
158,36,2,1,SI
159,292,14,0,SI
161,67,2,1,SI
162,84,0,0,SI
163,18,0,0,NO
164,30,0,0,SI
165,171,11,3,SI
166,195,11,1,SI
167,92,1,0,SI
168,223,1,0,SI
169,43,0,0,NO
170,260,1,0,SI
172,82,1,0,SI
173,414,0,0,SI
174,75,2,0,SI
175,149,0,0,SI
177,15,0,0,NO
179,360,6,1,SI
180,83,0,0,SI
181,706,9,0,SI
182,255,15,0,SI
183,55,0,0,NO
184,42,1,1,NO
185,71,0,0,NO
187,132,3,1,SI
188,17,0,0,NO
189,357,5,0,SI
191,104,0,0,SI
192,123,7,0,SI
195,447,39,1,SI
196,13,0,0,NO
197,9,0,0,NO
198,79,10,0,SI
199,9,0,0,NO
200,113,0,0,SI
201,112,3,1,SI
202,43,1,1,NO
203,282,34,2,SI
204,111,1,0,SI
205,31,0,0,NO
206,50,0,0,NO
209,27,2,0,SI
212,267,0,0,SI
213,64,3,0,SI
214,133,0,0,SI
215,49,0,0,SI
216,6,0,0,NO
217,29,0,0,NO
218,25,0,0,SI
219,161,4,0,SI
220,48,2,0,SI
221,37,0,0,SI
222,0,0,0,NO
223,193,1,0,SI
225,109,8,2,SI
226,97,0,0,NO
227,63,0,0,SI
228,72,0,0,SI
229,25,0,0,NO
231,166,0,0,NO
232,17,0,0,NO
234,423,142,0,SI
235,40,1,0,SI
236,117,17,2,SI
237,39,2,1,NO
238,17,0,0,NO
239,95,1,0,SI
240,182,0,0,SI
241,10,0,0,NO
242,40,0,0,SI
243,0,0,0,SI
244,20,0,0,NO
245,23,0,0,NO
246,352,53,3,NO
247,66,0,0,SI
248,100,0,0,SI
251,11,0,0,SI
252,173,4,1,SI
254,0,0,0,SI
256,69,1,0,SI
257,68,2,0,SI
258,20,0,0,NO
259,16,0,0,NO
260,50,0,0,SI
261,60,17,3,SI
263,26,0,0,NO
266,7,0,0,NO
267,27,0,0,SI
268,23,0,0,NO
270,76,8,2,SI
271,96,0,0,NO
272,55,0,0,SI
273,108,0,0,SI
275,79,0,0,SI
276,294,11,0,SI
277,57,5,2,NO
278,38,1,0,NO
279,209,8,1,SI
280,6,0,0,SI
281,34,0,0,SI
282,36,0,0,SI
283,6,0,0,NO
284,32,0,0,SI
285,58,0,0,SI
286,28,0,0,NO
288,95,3,0,NO
289,3,0,0,NO
290,117,0,0,SI
291,1,0,0,SI
293,133,0,0,NO
294,63,0,0,SI
297,52,0,0,NO
298,9,0,0,NO
300,86,0,0,SI
301,68,0,0,SI
302,65,0,0,NO
303,90,2,0,NO
305,45,0,0,NO
306,315,0,0,SI
307,72,1,1,NO
308,183,0,0,SI
309,54,0,0,NO
310,109,2,0,SI
311,60,0,0,SI
312,514,7,0,SI
313,218,4,2,SI
315,28,1,0,NO
316,94,6,0,SI
317,11,0,0,NO
318,71,0,0,SI
319,30,0,0,NO
320,79,0,0,NO
321,12,0,0,SI
323,61,0,0,NO
325,165,2,0,NO
326,76,2,2,SI
327,41,0,0,SI
329,224,19,1,SI
330,9,0,0,NO
332,84,0,0,SI
333,67,0,0,SI
336,190,6,1,SI
337,56,0,0,NO
338,7,0,0,NO
339,93,0,0,SI
340,125,3,0,NO
341,70,2,0,NO
343,33,0,0,NO
344,210,0,0,SI
345,25,0,0,NO
346,0,0,0,NO
347,83,4,0,SI
348,307,1,1,SI
349,89,0,0,NO
350,29,0,0,NO
351,37,0,0,NO
352,60,0,0,SI
353,44,2,0,SI
354,33,1,1,SI
356,27,0,0,SI
357,331,22,0,SI
358,12,0,0,NO
359,204,0,0,SI
360,182,7,0,NO
361,131,0,0,SI
362,158,0,0,SI
363,171,9,0,SI
364,113,0,0,SI
365,7,0,0,SI
366,11,0,0,NO
367,48,0,0,NO
369,29,0,0,NO
370,213,0,0,SI
371,49,0,0,NO
372,82,3,0,SI
373,18,0,0,SI
374,124,1,1,SI
375,549,31,3,SI
376,61,1,1,SI
