Cliente;Grupo de Cliente;Country;Proyecto;Producto;SearchName;ProductLine;BusinessUnit;ProductGroupId;Grupo de Producto;LINENUM;SALESQTY;SALESPRICE;SALESUNIT;Unidad Monetaria;Monto;DATE;Sede de la empresa a la que se le pidio el producto
C010439;Cliente;NULL;NULL;14231;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;2;1;15;pcs;USD;15;13:28.0;Sede1
C3003;Cliente;USA;NULL;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;1;150;pcs;USD;150;07:25.0;Sede1
C9718;Cliente;PRI;PJ-21-2104-03;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;2;-1;0.01;pcs;USD;-0.01;15:42.0;Sede1
C4764;Cliente;USA;NULL;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;1;150;pcs;USD;150;31:47.0;Sede1
C011052;Cliente;USA;NULL;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;1;150;pcs;USD;150;39:53.0;Sede1
C010823;Cliente;USA;PJ-21-3729-02;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;1;150;pcs;USD;150;24:36.0;Sede1
C3323;Cliente;USA;NULL;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;1;135;pcs;USD;135;38:25.0;Sede1
C010453;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;1;25;pcs;USD;25;33:10.0;Sede1
C015227;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;2;25;pcs;USD;50;29:43.0;Sede1
C011806;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;3;25;pcs;USD;75;16:34.0;Sede1
C010011;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;4;2;20;pcs;USD;40;33:12.0;Sede1
C4764;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;1;25;pcs;USD;25;37:22.0;Sede1
C016064;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;3;1;25;pcs;USD;25;35:16.0;Sede1
C2576;Cliente;USA;NULL;13566;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;1;20;pcs;USD;20;36:28.0;Sede1
C010453;Cliente;USA;NULL;10772;TIMESWITCH;RMELEC;Manufactura;RM-ELEC;ROW MATERIALS;1;1;25;pcs;USD;25;13:02.0;Sede1
C010945;Cliente;USA;NULL;12224;SWITCHING MECHANISM;RMATS;Manufactura;RM-ATS;ROW MATERIALS;1;1;650;pcs;USD;650;03:06.0;Sede1
C014225;Cliente;USA;NULL;12224;SWITCHING MECHANISM;RMATS;Manufactura;RM-ATS;ROW MATERIALS;1;1;650;pcs;USD;650;48:39.0;Sede1
C016056;Cliente;USA;NULL;11946;DSE;RMETRNC;Manufactura;RM-ETRONIC;ROW MATERIALS;1;1;225;pcs;USD;225;57:04.0;Sede1
C010453;Cliente;USA;NULL;1021;DSE;RMETRNC;Manufactura;RM-ETRONIC;ROW MATERIALS;1;1;610;pcs;USD;610;57:18.0;Sede1
C9851;Cliente;USA;NULL;14336;AIR FILTER;SRVPARTS;Venta;SRV-PARTS;SERVICIOS;5;1;279.11;pcs;USD;279.11;52:48.0;Sede1
C1453;Government;USA;NULL;14336;AIR FILTER;SRVPARTS;Venta;SRV-PARTS;SERVICIOS;4;1;274.6;pcs;USD;274.6;47:21.0;Sede1
C014269;Cliente;USA;PJ-22-3266;20859;InstaGene16KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;44:45.0;Sede1
C014013;Cliente;USA;PJ-22-3115;20859;InstaGene16KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;16:06.0;Sede1
C012854;Cliente;USA;PJ-22-2199;20859;InstaGene16KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;31:47.0;Sede1
