AÑO;PM05896FA;PM05897FA;PM05898FA;PM05899FA;PM05900FA;PM05901FA;PM05902FA;PM05903FA;PM05904FA;PM05905FA;PM05906FA;PM05907FA;PM05908FA;PM05909FA;PM05910FA;PM05911FA;PM05912FA;PM05913FA;PM05914FA;PM05915FA;PM05916FA;PM05917FA;PM05918FA
1970;0,000034991;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000010667;n.d.;n.d.;n.d.;n.d.;n.d.;0,000045658;n.d.;n.d.;n.d.
1971;0,000039791;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000013544;n.d.;n.d.;n.d.;n.d.;n.d.;0,000053335;n.d.;n.d.;n.d.
1972;0,000046332;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000014475;n.d.;n.d.;n.d.;n.d.;n.d.;0,000060807;n.d.;n.d.;n.d.
1973;0,000055029;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000016047;n.d.;n.d.;n.d.;n.d.;n.d.;0,000071076;n.d.;n.d.;n.d.
1974;0,000065536;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000021098;n.d.;n.d.;n.d.;n.d.;n.d.;0,000086634;n.d.;n.d.;n.d.
1975;0,000090797;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000028791;n.d.;n.d.;n.d.;n.d.;n.d.;0,000119588;n.d.;n.d.;n.d.
1976;0,000123121;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000039956;n.d.;n.d.;n.d.;n.d.;n.d.;0,000163077;n.d.;n.d.;n.d.
1977;0,000176413;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000044893;n.d.;n.d.;n.d.;n.d.;n.d.;0,000221306;n.d.;n.d.;n.d.
1978;0,000238905;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000060229;n.d.;n.d.;n.d.;n.d.;n.d.;0,000299134;n.d.;n.d.;n.d.
1979;0,000336878;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,00013587;n.d.;n.d.;n.d.;n.d.;n.d.;0,000472748;n.d.;n.d.;n.d.
1980;0,000751;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,000291;n.d.;n.d.;n.d.;n.d.;n.d.;0,001042;n.d.;n.d.;n.d.
1981;0,001275;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,0005;n.d.;n.d.;n.d.;n.d.;n.d.;0,001775;n.d.;n.d.;n.d.
1982;0,002142;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,00068;n.d.;n.d.;n.d.;n.d.;n.d.;0,002822;n.d.;n.d.;n.d.
1983;0,004032;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,001167;n.d.;n.d.;n.d.;n.d.;n.d.;0,005199;n.d.;n.d.;n.d.
1984;0,007874;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,002644;n.d.;n.d.;n.d.;n.d.;n.d.;0,010518;n.d.;n.d.;n.d.
1985;0,02063;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,005894;n.d.;n.d.;n.d.;n.d.;n.d.;0,026524;n.d.;n.d.;n.d.
1986;0,044663;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,0123;n.d.;n.d.;n.d.;n.d.;n.d.;0,056963;n.d.;n.d.;n.d.
1987;0,090859244;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,020952;n.d.;n.d.;n.d.;n.d.;n.d.;0,111811244;n.d.;n.d.;n.d.
1988;0,395107155;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;0,08932;n.d.;n.d.;n.d.;n.d.;n.d.;0,484427155;n.d.;n.d.;n.d.
1989;9,394102198;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;2,8095067;n.d.;n.d.;n.d.;n.d.;n.d.;12,2036089;n.d.;n.d.;n.d.
1990;629,0220411;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;108,9500091;n.d.;n.d.;n.d.;n.d.;n.d.;737,9720502;n.d.;n.d.;n.d.
1991;2956,436806;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;750,308035;n.d.;n.d.;n.d.;n.d.;n.d.;3706,744841;n.d.;n.d.;n.d.
1992;5515,136298;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;1793,658494;n.d.;n.d.;n.d.;n.d.;n.d.;7308,794792;n.d.;n.d.;n.d.
1993;7907,977462;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;2997,69785;n.d.;n.d.;n.d.;n.d.;n.d.;10905,67531;n.d.;n.d.;n.d.
